customer_id,city,city_tier,channel,age,gender,recency_days,frequency,monetary,avg_order_value,first_order_date,last_order_date,r_score,f_score,m_score,rfm_total,rfm_segment,monetary_percentile,churned,monetary_log,avg_order_log,lifespan_days,orders_per_month,tier_encoded,channel_encoded,churn_probability,churn_risk
7799,Surat,Tier-2,Organic Search,23,Male,0,5,231890.0,46378.0,2024-12-13,2024-12-31,5,5,5,15,Champion,84.9,0,12.354022712658677,10.7446020495594,18,3.125,2,4,0.0,
3046,Chandigarh,Tier-2,Social Media,18,Male,0,5,267105.0,53421.0,2024-12-24,2024-12-31,5,5,5,15,Champion,88.0,0,12.495400862342569,10.885977925124486,7,4.054,2,3,0.0,
1920,Patna,Tier-3,Social Media,37,Female,0,5,287468.0,57493.6,2024-12-08,2024-12-31,5,5,5,15,Champion,89.3,0,12.568870307318935,10.959446309331858,23,2.83,1,3,0.0,
5893,Indore,Tier-2,Organic Search,31,Female,0,5,292010.0,58402.0,2024-12-25,2024-12-31,5,5,5,15,Champion,89.6,0,12.584546751773752,10.975122537359946,6,4.167,2,4,0.0,
2780,Kolkata,Tier-1,Organic Search,29,Male,0,5,331350.0,66270.0,2024-12-17,2024-12-31,5,5,5,15,Champion,91.9,0,12.710933515468662,11.10150767475264,14,3.409,3,4,0.0,
6090,Indore,Tier-2,Social Media,31,Male,0,5,332124.0,66424.8,2024-12-08,2024-12-31,5,5,5,15,Champion,91.9,0,12.713266683062114,11.10384081421375,23,2.83,2,3,0.0,
94,Chandigarh,Tier-2,Social Media,28,Male,0,5,436064.0,87212.8,2024-12-14,2024-12-31,5,5,5,15,Champion,94.9,0,12.985546593788277,11.376117854256506,17,3.191,2,3,0.0,
6534,Delhi,Tier-1,Paid Ads,36,Male,0,5,448286.0,89657.2,2024-01-26,2024-12-31,5,5,5,15,Champion,95.2,0,13.013188931284523,11.403759941665838,340,0.405,3,2,0.0,
8424,Bengaluru,Tier-1,Email Campaign,52,Female,0,6,275566.0,45927.67,2024-06-29,2024-12-31,5,5,5,15,Champion,88.6,0,12.526586072200569,10.734844819791931,185,0.837,3,3,0.0,
2370,Kolkata,Tier-1,Organic Search,24,Male,0,6,362814.5,60469.08,2024-12-31,2024-12-31,5,5,5,15,Champion,93.0,0,12.801649719574012,11.009903976236451,0,6.0,3,4,0.0,
8386,Delhi,Tier-1,Paid Ads,35,Male,0,6,437970.0,72995.0,2024-12-09,2024-12-31,5,5,5,15,Champion,95.0,0,12.98990797712094,11.198159924108706,22,3.462,3,2,0.0,
2241,Bengaluru,Tier-1,Organic Search,23,Male,0,7,207950.0,29707.14,2024-03-19,2024-12-31,5,5,5,15,Champion,82.3,0,12.245057754007776,10.299176361313426,287,0.662,3,4,0.0,
8999,Lucknow,Tier-2,Social Media,31,Male,0,7,207970.5,29710.07,2024-12-31,2024-12-31,5,5,5,15,Champion,82.3,0,12.245156330064694,10.299274982617964,0,7.0,2,3,0.0,
8849,Nagpur,Tier-2,Organic Search,31,Male,0,7,231032.0,33004.57,2024-12-12,2024-12-31,5,5,5,15,Champion,84.8,0,12.350315836443677,10.404431614084334,19,4.286,2,4,0.0,
5888,Kochi,Tier-2,Organic Search,29,Female,0,7,298937.0,42705.29,2024-12-29,2024-12-31,5,5,5,15,Champion,90.1,0,12.607991473011678,10.662101495159705,2,6.562,2,4,0.0,
